Name,Location,HistZScore
Abbotsleigh,Country,-0.189999998
Batemans Bay High School,Country,-1.1597687
Bega High School,Country,-0.0141234994
Bomaderry High School,Country,-0.699910641
Bombala High School,Country,-1.37
Bowral High School,Country,-0.77332747
Braidwood Central School,Country,-0.731809735
Canberra College Weston,City,1.10111725
Canberra College Woden,City,1.01591623
Canberra Girls Grammar,City,1.04472733
Canberra Grammar,City,1.28828299
Chevalier College,Country,-0.18045029
Cootamundra High School,Country,-0.265624583
Daramalan College,City,-0.537570596
Dickson College,City,1.43700969
Eden Marine High School,Country,-0.219999999
Erindale College,City,-0.454505384
Hawker College,City,0.144457996
Karabar High School,Country,-0.988075674
Lake Tuggeranong College,City,-0.404649973
Leeton High School,Country,-0.354556233
Marist College,City,0.211330056
Merici College,City,0.13893047
Monaro High School,Country,-1.09145248
Moruya High School,Country,-0.419890255
Mulwaree High School,Country,-0.817814529
Narooma High School,Country,-0.164218634
Narrabundah College,City,0.669313431
Nowra High School,Country,-0.37916398
Presbyterian Ladies' College,City,0.180000007
Queanbeyan High School,Country,-0.853084147
Radford College,City,1.33148658
Shoalhaven High School,Country,0.189999998
Snowy Mountains Grammar,Country,-0.258280545
St Clare's College,City,-0.853091955
St Edmund's College,City,-0.660328209
St Peters College,City,-0.180000007
Sydney Technical High School,City,0.649766982
Trinity Catholic College,Country,-1.34503698
Ulladulla High School,Country,-0.812715709
Vincentia High School,Country,0.0131432582
Wellington High School,Country,-1.57164478
Yanco Agricultural High School,Country,-0.829999983
Yass High School,Country,-0.770722806
Young High School,Country,-1.15263617
Crookwell High School,Country,-1.08846319
Southern Highlands Christian School,Country,-0.184484169
Sapphire Coast Anglican College,Country,-0.122701705
Narrabundah College,City,0.764252424
Burgmann Anglican School,City,0.281100661
Melba Copland Secondary School,City,-0.681488872
St Pauls International College,Country,-0.428076118
Trinity Christian School,City,-0.0683811232
Canberra College,City,1.49226046
Moss Vale High School,Country,-0.588387251
Lumen Christi Catholic College,City,-1.1347369
Illawarra Grammar School,City,-0.534979641
St Francis Xavier College,City,-0.0323726684
Gungahlin College,City,-0.249806851
St Mary MacKillop College,City,-0.065747641
UC Lake Ginninderra College,City,-0.63429606
Bishop Tyrrell Anglican College,City,-0.415523291
Brindabella Christian College,City,-0.286672413
